RACINE	LIBELLE	ASO	DA	LibelleDomaineActivite	GP_CAS 	LibelleGroupesDeTypePlanification	GA	LibelleGroupesActivite	DA_GP	DA_GP_GA
11C10	Interventions pour incontinence urinaire en dehors des interventions transuretrales	C	D15	Uro-nephrologie et genital 	C19	Chirurgie Urologique	G126	Chirurgies reins, ureteres, vessie, glandes surrenales	D15C19	D15C19G126
11C11	Interventions par voie transuretrale ou transcutanee pour lithiases urinaires	C	D15	Uro-nephrologie et genital 	C19	Chirurgie Urologique	G127	Chirurgies transuretrales, autres	D15C19	D15C19G127
11C12	Injections de toxine botulique dans l'appareil urinaire	C	D15	Uro-nephrologie et genital 	C19	Chirurgie Urologique	G127	Chirurgies transuretrales, autres	D15C19	D15C19G127
11C13	Interventions par voie transuretrale ou transcutanee pour des affections non lithiasiques	C	D15	Uro-nephrologie et genital 	C19	Chirurgie Urologique	G127	Chirurgies transuretrales, autres	D15C19	D15C19G127
11K02	Insuffisance renale, avec dialyse	M	D15	Uro-nephrologie et genital 	K13	Dialyse (hors Seances)	G202	'Insuffisance renale, avec dialyse	D15K13	D15K13G202
11K03	Endoscopies genito-urinaires therapeutiques et anesthesie : sejours de la CMD 11 et de moins de 2 jours	M	D15	Uro-nephrologie et genital 	K10	Aff. genito-urinaires avec Acte classant non operatoire et endoscopies	G140	Endoscopies genito-urinaires, avec ou sans anesthesie	D15K10	D15K10G140
11K04	Sejours de la CMD 11 comprenant une endoscopie genito-urinaire therapeutique sans anesthesie : sejours de moins de 2 jours	M	D15	Uro-nephrologie et genital 	K10	Aff. genito-urinaires avec Acte classant non operatoire et endoscopies	G140	Endoscopies genito-urinaires, avec ou sans anesthesie	D15K10	D15K10G140
11K05	Endoscopies genito-urinaires diagnostiques et anesthesie : sejours de la CMD 11 et de moins de 2 jours	M	D15	Uro-nephrologie et genital 	K10	Aff. genito-urinaires avec Acte classant non operatoire et endoscopies	G140	Endoscopies genito-urinaires, avec ou sans anesthesie	D15K10	D15K10G140
11K06	Sejours de la CMD 11 comprenant une endoscopie genito-urinaire diagnostique sans anesthesie : sejours de moins de 2 jours	M	D15	Uro-nephrologie et genital 	K10	Aff. genito-urinaires avec Acte classant non operatoire et endoscopies	G140	Endoscopies genito-urinaires, avec ou sans anesthesie	D15K10	D15K10G140
11K07	Sejours de la CMD 11 comprenant la mise en place de certains acces vasculaires, en ambulatoire	C	D07	Cardio-vasculaire (hors catheterismes vasculaires diagnostiques et interventionnels)	K06	Mise en place d'acces vasculaire	G199	Mise en place d'acces vasculaire	D07K06	D07K06G199
11K08	Lithotritie extracorporelle de l'appareil urinaire, en ambulatoire	M	D15	Uro-nephrologie et genital 	K10	Aff. genito-urinaires avec Acte classant non operatoire et endoscopies	G208	Lithotritie extracorporelle de l'appareil urinaire, en ambulatoire	D15K10	D15K10G208
11M02	Lithiases urinaires	M	D15	Uro-nephrologie et genital 	X12	Uro-Nephrologie medicale (hors Seances)	G133	Infections reins et voies urinaires, lithiases	D15X12	D15X12G133
11M03	Infections des reins et des voies urinaires, age inferieur a 18 ans	M	D15	Uro-nephrologie et genital 	X12	Uro-Nephrologie medicale (hors Seances)	G133	Infections reins et voies urinaires, lithiases	D15X12	D15X12G133
11M04	Infections des reins et des voies urinaires, age superieur a 17 ans	M	D15	Uro-nephrologie et genital 	X12	Uro-Nephrologie medicale (hors Seances)	G133	Infections reins et voies urinaires, lithiases	D15X12	D15X12G133
11M06	Insuffisance renale, sans dialyse	M	D15	Uro-nephrologie et genital 	X12	Uro-Nephrologie medicale (hors Seances)	G134	Autres affections reins, voies urinaires	D15X12	D15X12G134
11M07	Tumeurs des reins et des voies urinaires	M	D15	Uro-nephrologie et genital 	X12	Uro-Nephrologie medicale (hors Seances)	G132	Prise en charge medicale des tumeurs reins et voies urinaires	D15X12	D15X12G132
11M08	Autres affections des reins et des voies urinaires, age inferieur a 18 ans	M	D15	Uro-nephrologie et genital 	X12	Uro-Nephrologie medicale (hors Seances)	G134	Autres affections reins, voies urinaires	D15X12	D15X12G134
11M10	Retrecissement uretral	C	D15	Uro-nephrologie et genital 	X12	Uro-Nephrologie medicale (hors Seances)	G134	Autres affections reins, voies urinaires	D15X12	D15X12G134
11M11	Signes et symptômes concernant les reins et les voies urinaires, age inferieur a 18 ans	M	D15	Uro-nephrologie et genital 	X12	Uro-Nephrologie medicale (hors Seances)	G134	Autres affections reins, voies urinaires	D15X12	D15X12G134
11M12	Signes et symptômes concernant les reins et les voies urinaires, age superieur a 17 ans	M	D15	Uro-nephrologie et genital 	X12	Uro-Nephrologie medicale (hors Seances)	G134	Autres affections reins, voies urinaires	D15X12	D15X12G134
11M15	Autres affections des reins et des voies urinaires d'origine diabetique, age superieur a 17 ans	M	D15	Uro-nephrologie et genital 	X12	Uro-Nephrologie medicale (hors Seances)	G134	Autres affections reins, voies urinaires	D15X12	D15X12G134
11M16	Autres affections des reins et des voies urinaires, a l'exception de celles d'origine diabetique, age superieur a 17 ans	M	D15	Uro-nephrologie et genital 	X12	Uro-Nephrologie medicale (hors Seances)	G134	Autres affections reins, voies urinaires	D15X12	D15X12G134
11M17	Surveillances de greffes de rein	M	D15	Uro-nephrologie et genital 	X12	Uro-Nephrologie medicale (hors Seances)	G135	Explorations et surveillance pour affections du rein et des voies urinaires	D15X12	D15X12G135
11M18	Explorations et surveillance pour affections du rein et des voies urinaires	M	D15	Uro-nephrologie et genital 	X12	Uro-Nephrologie medicale (hors Seances)	G135	Explorations et surveillance pour affections du rein et des voies urinaires	D15X12	D15X12G135
11M19	Autres symptômes et recours aux soins de la CMD 11	M	D15	Uro-nephrologie et genital 	X12	Uro-Nephrologie medicale (hors Seances)	G134	Autres affections reins, voies urinaires	D15X12	D15X12G134
11M20	Autres affections uronephrologiques concernant majoritairement la petite enfance	M	D15	Uro-nephrologie et genital 	X12	Uro-Nephrologie medicale (hors Seances)	G134	Autres affections reins, voies urinaires	D15X12	D15X12G134
12C03	Interventions sur le penis	C	D15	Uro-nephrologie et genital 	C20	Chirurgie de l'appareil genital masculin	G128	Chirurgies appareil genital masculin	D15C20	D15C20G128
12C04	Prostatectomies transuretrales	C	D15	Uro-nephrologie et genital 	C20	Chirurgie de l'appareil genital masculin	G128	Chirurgies appareil genital masculin	D15C20	D15C20G128
12C05	Interventions sur les testicules pour tumeurs malignes	C	D15	Uro-nephrologie et genital 	C20	Chirurgie de l'appareil genital masculin	G131	Chirurgie des tumeurs appareil genital masculin	D15C20	D15C20G131
12C06	Interventions sur les testicules pour affections non malignes, age inferieur a 18 ans	C	D15	Uro-nephrologie et genital 	C20	Chirurgie de l'appareil genital masculin	G128	Chirurgies appareil genital masculin	D15C20	D15C20G128
12C07	Interventions sur les testicules pour affections non malignes, age superieur a 17 ans	C	D15	Uro-nephrologie et genital 	C20	Chirurgie de l'appareil genital masculin	G128	Chirurgies appareil genital masculin	D15C20	D15C20G128
12C08	Circoncision	C	D15	Uro-nephrologie et genital 	C20	Chirurgie de l'appareil genital masculin	G129	Circoncisions	D15C20	D15C20G129
12C09	Autres interventions pour tumeurs malignes de l'appareil genital masculin	C	D15	Uro-nephrologie et genital 	C20	Chirurgie de l'appareil genital masculin	G131	Chirurgie des tumeurs appareil genital masculin	D15C20	D15C20G131
12C10	Autres interventions pour affections non malignes de l'appareil genital masculin	C	D15	Uro-nephrologie et genital 	C20	Chirurgie de l'appareil genital masculin	G128	Chirurgies appareil genital masculin	D15C20	D15C20G128
12C11	Interventions pelviennes majeures chez l'homme pour tumeurs malignes	C	D15	Uro-nephrologie et genital 	C20	Chirurgie de l'appareil genital masculin	G130	Chirurgies pelviennes majeures (urologie)	D15C20	D15C20G130
12C12	Interventions pelviennes majeures chez l'homme pour affections non malignes	C	D15	Uro-nephrologie et genital 	C20	Chirurgie de l'appareil genital masculin	G130	Chirurgies pelviennes majeures (urologie)	D15C20	D15C20G130
12C13	Sterilisation et vasoplastie	C	D15	Uro-nephrologie et genital 	C20	Chirurgie de l'appareil genital masculin	G128	Chirurgies appareil genital masculin	D15C20	D15C20G128
12K02	Endoscopies genito-urinaires et anesthesie : sejours de la CMD 12 et de moins de deux jours	M	D15	Uro-nephrologie et genital 	K10	Aff. genito-urinaires avec Acte classant non operatoire et endoscopies	G140	Endoscopies genito-urinaires, avec ou sans anesthesie	D15K10	D15K10G140
12K03	Sejours de la CMD 12 comprenant une endoscopie genito-urinaire sans anesthesie : sejours de moins de deux jours	M	D15	Uro-nephrologie et genital 	K10	Aff. genito-urinaires avec Acte classant non operatoire et endoscopies	G140	Endoscopies genito-urinaires, avec ou sans anesthesie	D15K10	D15K10G140
12K06	Sejours comprenant une biopsie prostatique, en ambulatoire	C	D15	Uro-nephrologie et genital 	K10	Aff. genito-urinaires avec Acte classant non operatoire et endoscopies	G209	Sejours comprenant une biopsie prostatique, en ambulatoire	D15K10	D15K10G209
12M03	Tumeurs malignes de l'appareil genital masculin	M	D15	Uro-nephrologie et genital 	X13	Appareil genital masculin	G137	Prise en charge medicale des tumeurs de l'appareil genital masculin	D15X13	D15X13G137
12M04	Hypertrophie prostatique benigne	M	D15	Uro-nephrologie et genital 	X13	Appareil genital masculin	G138	Autres affections appareil genital masculin	D15X13	D15X13G138
12M05	Autres affections de l'appareil genital masculin	M	D15	Uro-nephrologie et genital 	X13	Appareil genital masculin	G138	Autres affections appareil genital masculin	D15X13	D15X13G138
12M06	Prostatites aigües et orchites	M	D15	Uro-nephrologie et genital 	X13	Appareil genital masculin	G136	Infections appareil genital masculin	D15X13	D15X13G136
12M07	Autres infections et inflammations de l'appareil genital masculin	M	D15	Uro-nephrologie et genital 	X13	Appareil genital masculin	G136	Infections appareil genital masculin	D15X13	D15X13G136
12M08	Explorations et surveillance des affections de l'appareil genital masculin	M	D15	Uro-nephrologie et genital 	X13	Appareil genital masculin	G139	Explorations et surveillance des affections de l'appareil genital masculin	D15X13	D15X13G139
12M09	Symptômes et autres recours aux soins de la CMD 12	M	D15	Uro-nephrologie et genital 	X13	Appareil genital masculin	G138	Autres affections appareil genital masculin	D15X13	D15X13G138
13C03	Hysterectomies	C	D12	Gynecologie - sein	C17	Chirurgie Gynecologique	G105	Chirurgies uterus / annexes	D12C17	D12C17G105
13C04	Interventions reparatrices sur l'appareil genital feminin	C	D12	Gynecologie - sein	C17	Chirurgie Gynecologique	G106	Autres chirurgies gynecologiques autres que le sein	D12C17	D12C17G106
13C05	Interventions sur le systeme uteroannexiel pour tumeurs malignes	C	D12	Gynecologie - sein	C17	Chirurgie Gynecologique	G103	Chirurgie pour tumeurs malignes (app genital fem)	D12C17	D12C17G103
13C06	Interruptions tubaires	C	D12	Gynecologie - sein	C17	Chirurgie Gynecologique	G105	Chirurgies uterus / annexes	D12C17	D12C17G105
13C07	Interventions sur le systeme uteroannexiel pour des affections non malignes, autres que les interruptions tubaires	C	D12	Gynecologie - sein	C17	Chirurgie Gynecologique	G105	Chirurgies uterus / annexes	D12C17	D12C17G105
13C08	Interventions sur la vulve, le vagin ou le col uterin	C	D12	Gynecologie - sein	C17	Chirurgie Gynecologique	G106	Autres chirurgies gynecologiques autres que le sein	D12C17	D12C17G106
13C09	Laparoscopies ou coelioscopies diagnostiques	C	D12	Gynecologie - sein	C17	Chirurgie Gynecologique	G105	Chirurgies uterus / annexes	D12C17	D12C17G105
13C10	Ligatures tubaires par laparoscopie ou coelioscopie	C	D12	Gynecologie - sein	C17	Chirurgie Gynecologique	G105	Chirurgies uterus / annexes	D12C17	D12C17G105
13C11	Dilatations et curetages, conisations pour tumeurs malignes	C	D12	Gynecologie - sein	C17	Chirurgie Gynecologique	G103	Chirurgie pour tumeurs malignes (app genital fem)	D12C17	D12C17G103
13C12	Dilatations et curetages, conisations pour affections non malignes	C	D12	Gynecologie - sein	C17	Chirurgie Gynecologique	G105	Chirurgies uterus / annexes	D12C17	D12C17G105
13C13	Autres interventions sur l'appareil genital feminin	C	D12	Gynecologie - sein	C17	Chirurgie Gynecologique	G106	Autres chirurgies gynecologiques autres que le sein	D12C17	D12C17G106
13C14	Exenterations pelviennes, hysterectomies elargies ou vulvectomies pour tumeurs malignes	C	D12	Gynecologie - sein	C17	Chirurgie Gynecologique	G103	Chirurgie pour tumeurs malignes (app genital fem)	D12C17	D12C17G103
13C15	Exenterations pelviennes, hysterectomies elargies ou vulvectomies pour affections non malignes	C	D12	Gynecologie - sein	C17	Chirurgie Gynecologique	G104	Chirurgies pelviennes majeures (app gen feminin)	D12C17	D12C17G104
13C16	Prelevements d'ovocytes, en ambulatoire	C	D12	Gynecologie - sein	C17	Chirurgie Gynecologique	G106	Autres chirurgies gynecologiques autres que le sein	D12C17	D12C17G106
13C17	Cervicocystopexie	C	D12	Gynecologie - sein	C17	Chirurgie Gynecologique	G106	Autres chirurgies gynecologiques autres que le sein	D12C17	D12C17G106
13C18	Myomectomies de l'uterus	C	D12	Gynecologie - sein	C17	Chirurgie Gynecologique	G105	Chirurgies uterus / annexes	D12C17	D12C17G105
13C19	Interventions pour sterilite ou motifs de soins lies a la reproduction	C	D12	Gynecologie - sein	C17	Chirurgie Gynecologique	G105	Chirurgies uterus / annexes	D12C17	D12C17G106
13C20	Exereses ou destructions de lesions du col de l'uterus sauf conisations	C	D12	Gynecologie - sein	C17	Chirurgie Gynecologique	G105	Chirurgies uterus / annexes	D12C17	D12C17G105
13K02	Endoscopies genito-urinaires therapeutiques et anesthesie : sejours de la CMD 13 et de moins de 2 jours	M	D15	Uro-nephrologie et genital 	K10	Aff. genito-urinaires avec Acte classant non operatoire et endoscopies	G140	Endoscopies genito-urinaires, avec ou sans anesthesie	D15K10	D15K10G140
13K03	Sejours de la CMD 13 comprenant une endoscopie genito-urinaire therapeutique sans anesthesie : sejours de moins de 2 jours	M	D15	Uro-nephrologie et genital 	K10	Aff. genito-urinaires avec Acte classant non operatoire et endoscopies	G140	Endoscopies genito-urinaires, avec ou sans anesthesie	D15K10	D15K10G140
13K04	Endoscopies genito-urinaires diagnostiques et anesthesie : sejours de la CMD 13 et de moins de 2 jours	M	D15	Uro-nephrologie et genital 	K10	Aff. genito-urinaires avec Acte classant non operatoire et endoscopies	G140	Endoscopies genito-urinaires, avec ou sans anesthesie	D15K10	D15K10G140
13K05	Endoscopies genito-urinaires diagnostiques sans anesthesie : sejours de la CMD 13 et de moins de 2 jours	M	D15	Uro-nephrologie et genital 	K10	Aff. genito-urinaires avec Acte classant non operatoire et endoscopies	G140	Endoscopies genito-urinaires, avec ou sans anesthesie	D15K10	D15K10G140
13K06	Affections de l'appareil genital feminin sans acte operatoire de la CMD 13, avec anesthesie, en ambulatoire	C	D15	Uro-nephrologie et genital 	K10	Aff. genito-urinaires avec Acte classant non operatoire et endoscopies	G201	Affections de l'appareil genital feminin sans acte operatoire de la CMD 13, avec anesthesie, en ambulatoire	D15K10	D15K10G201
13M03	Tumeurs malignes de l'appareil genital feminin	M	D12	Gynecologie - sein	X11	Gynecologie, Senologie (hors Obstetrique)	G109	Prise en charge medicale des tumeurs de l'appareil genital feminin	D12X11	D12X11G109
13M04	Autres affections de l'appareil genital feminin	M	D12	Gynecologie - sein	X11	Gynecologie, Senologie (hors Obstetrique)	G110	Autres affections appareil genital feminin	D12X11	D12X11G110
13M05	Infections de l'uterus et de ses annexes	M	D12	Gynecologie - sein	X11	Gynecologie, Senologie (hors Obstetrique)	G112	Infections gynecologiques d'organes autres que le sein	D12X11	D12X11G112
13M06	Autres infections de l'appareil genital feminin	M	D12	Gynecologie - sein	X11	Gynecologie, Senologie (hors Obstetrique)	G112	Infections gynecologiques d'organes autres que le sein	D12X11	D12X11G112
13M07	Autres tumeurs de l'appareil genital feminin	M	D12	Gynecologie - sein	X11	Gynecologie, Senologie (hors Obstetrique)	G109	Prise en charge medicale des tumeurs de l'appareil genital feminin	D12X11	D12X11G109
13M08	Assistance medicale a la procreation	M	D12	Gynecologie - sein	X11	Gynecologie, Senologie (hors Obstetrique)	G111	AMP	D12X11	D12X11G111
13M09	Explorations et surveillance gynecologiques	M	D12	Gynecologie - sein	X11	Gynecologie, Senologie (hors Obstetrique)	G115	Explorations et surveillance gynecologiques et des affections des seins	D12X11	D12X11G115
13M10	Autres symptômes et recours aux soins de la CMD 13	M	D12	Gynecologie - sein	X11	Gynecologie, Senologie (hors Obstetrique)	G110	Autres affections appareil genital feminin	D12X11	D12X11G110
14C03	Accouchements uniques par voie basse avec autres interventions	O	D13	Obstetrique	O01	 Accouchements par voie basse	G116	Accouchements par voie basse	D13O01	D13O01G116
14C04	Affections du post-partum ou du post abortum avec intervention chirurgicale	O	D13	Obstetrique	O04	Obstetrique autre	G120	Affections du post partum	D13O04	D13O04G120
14C05	Avortements avec aspiration ou curetage ou hysterotomie	O	D13	Obstetrique	O04	Obstetrique autre	G121	Interruptions medicale de grossesse	D13O04	D13O04G121
14C06	Cesariennes avec naissance d'un mort-ne	O	D13	Obstetrique	O02	Cesariennes	G117	Cesariennes	D13O02	D13O02G117
14C07	Cesariennes pour grossesse multiple	O	D13	Obstetrique	O02	Cesariennes	G117	Cesariennes	D13O02	D13O02G117
14C08	Cesariennes pour grossesse unique	O	D13	Obstetrique	O02	Cesariennes	G117	Cesariennes	D13O02	D13O02G117
14C09	Grossesses ectopiques avec intervention chirurgicale	O	D13	Obstetrique	O04	Obstetrique autre	G119	Affections de ante partum	D13O04	D13O04G119
14C10	Affections de l'ante partum avec intervention chirurgicale	O	D13	Obstetrique	O04	Obstetrique autre	G119	Affections de ante partum	D13O04	D13O04G119
14M02	Affections medicales du post-partum ou du post-abortum	O	D13	Obstetrique	O04	Obstetrique autre	G120	Affections du post partum	D13O04	D13O04G120
14M03	Affections de l'ante partum sans intervention chirurgicale	O	D13	Obstetrique	O04	Obstetrique autre	G119	Affections de ante partum	D13O04	D13O04G119
14Z04	Avortements sans aspiration, ni curetage, ni hysterotomie	O	D13	Obstetrique	O04	Obstetrique autre	G121	Interruptions medicale de grossesse	D13O04	D13O04G121
14Z06	Menaces d'avortement	O	D13	Obstetrique	O04	Obstetrique autre	G119	Affections de ante partum	D13O04	D13O04G119
14Z08	Interruptions volontaires de grossesse : sejours de moins de 3 jours	O	D13	Obstetrique	O03	IVG	G118	IVG	D13O03	D13O03G118
14Z09	Accouchements hors de l'etablissement	O	D13	Obstetrique	O01	 Accouchements par voie basse	G116	Accouchements par voie basse	D13O01	D13O01G116
14Z10	Accouchements par voie basse avec naissance d'un mort-ne	O	D13	Obstetrique	O01	 Accouchements par voie basse	G116	Accouchements par voie basse	D13O01	D13O01G116
14Z11	Accouchements multiples par voie basse chez une primipare	O	D13	Obstetrique	O01	 Accouchements par voie basse	G116	Accouchements par voie basse	D13O01	D13O01G116
14Z12	Accouchements multiples par voie basse chez une multipare	O	D13	Obstetrique	O01	 Accouchements par voie basse	G116	Accouchements par voie basse	D13O01	D13O01G116
14Z13	Accouchements uniques par voie basse chez une primipare	O	D13	Obstetrique	O01	 Accouchements par voie basse	G116	Accouchements par voie basse	D13O01	D13O01G116
14Z14	Accouchements uniques par voie basse chez une multipare	O	D13	Obstetrique	O01	 Accouchements par voie basse	G116	Accouchements par voie basse	D13O01	D13O01G116
14Z15	Grossesses ectopiques sans intervention chirurgicale	O	D13	Obstetrique	O04	Obstetrique autre	G119	Affections de ante partum	D13O04	D13O04G119
14Z16	Faux travail et menaces d'accouchements prematures	O	D13	Obstetrique	O04	Obstetrique autre	G119	Affections de ante partum	D13O04	D13O04G119
15C02	Interventions majeures sur l'appareil digestif, groupes nouveau-nes 1 a 7	C	D14	Nouveau-nes et periode perinatale	N01	Chirurgie des nouveau-nes, prematures et de la periode perinatale	G122	Chirurgie du nouveau ne	D14N01	D14N01G122
15C03	Interventions majeures sur l'appareil cardiovasculaire, groupes nouveau-nes 1 a 7	C	D14	Nouveau-nes et periode perinatale	N01	Chirurgie des nouveau-nes, prematures et de la periode perinatale	G122	Chirurgie du nouveau ne	D14N01	D14N01G122
15C04	Autres interventions chirurgicales, groupes nouveau-nes 1 a 7	C	D14	Nouveau-nes et periode perinatale	N01	Chirurgie des nouveau-nes, prematures et de la periode perinatale	G122	Chirurgie du nouveau ne	D14N01	D14N01G122
15C05	Interventions chirurgicales, groupes nouveau-nes 8 a 9	C	D14	Nouveau-nes et periode perinatale	N01	Chirurgie des nouveau-nes, prematures et de la periode perinatale	G122	Chirurgie du nouveau ne	D14N01	D14N01G122
15C06	Interventions chirurgicales, groupe nouveau-nes 10	C	D14	Nouveau-nes et periode perinatale	N01	Chirurgie des nouveau-nes, prematures et de la periode perinatale	G122	Chirurgie du nouveau ne	D14N01	D14N01G122
15M02	Transferts precoces de nouveau-nes vers un autre etablissement MCO	M	D14	Nouveau-nes et periode perinatale	N03	Mort-nes, deces et transferts precoces de nouveau-nes	G123	Transferts precoces de nouveau nes	D14N03	D14N03G123
15M03	Deces precoces de nouveau-nes	M	D14	Nouveau-nes et periode perinatale	N03	Mort-nes, deces et transferts precoces de nouveau-nes	G125	Deces de nouveau nes	D14N03	D14N03G125
15M04	Deces tardifs de nouveau-nes	M	D14	Nouveau-nes et periode perinatale	N03	Mort-nes, deces et transferts precoces de nouveau-nes	G125	Deces de nouveau nes	D14N03	D14N03G125
15M05	Nouveau-nes de 3300g et age gestationnel de 40 SA et assimiles (groupe nouveau-nes 1)	M	D14	Nouveau-nes et periode perinatale	N02	Aff. medicales des nouveau-nes, prematures et de la periode perinatale	G124	affections medicales du nouveau ne	D14N02	D14N02G124
15M06	Nouveau-nes de 2400g et age gestationnel de 38 SA et assimiles (groupe nouveau-nes 2)	M	D14	Nouveau-nes et periode perinatale	N02	Aff. medicales des nouveau-nes, prematures et de la periode perinatale	G124	affections medicales du nouveau ne	D14N02	D14N02G124
15M07	Nouveau-nes de 2200g et age gestationnel de 37 SA et assimiles (groupe nouveau-nes 3)	M	D14	Nouveau-nes et periode perinatale	N02	Aff. medicales des nouveau-nes, prematures et de la periode perinatale	G124	affections medicales du nouveau ne	D14N02	D14N02G124
15M08	Nouveau-nes de 2000g et age gestationnel de 37 SA et assimiles (groupe nouveau-nes 4)	M	D14	Nouveau-nes et periode perinatale	N02	Aff. medicales des nouveau-nes, prematures et de la periode perinatale	G124	affections medicales du nouveau ne	D14N02	D14N02G124
15M09	Nouveau-nes de 1800g et age gestationnel de 36 SA et assimiles (groupe nouveau-nes 5)	M	D14	Nouveau-nes et periode perinatale	N02	Aff. medicales des nouveau-nes, prematures et de la periode perinatale	G124	affections medicales du nouveau ne	D14N02	D14N02G124
15M10	Nouveau-nes de 1700g et age gestationnel de 35 SA et assimiles (groupe nouveau-nes 6)	M	D14	Nouveau-nes et periode perinatale	N02	Aff. medicales des nouveau-nes, prematures et de la periode perinatale	G124	affections medicales du nouveau ne	D14N02	D14N02G124
15M11	Nouveau-nes de 1500g et age gestationnel de 33 SA et assimiles (groupe nouveau-nes 7)	M	D14	Nouveau-nes et periode perinatale	N02	Aff. medicales des nouveau-nes, prematures et de la periode perinatale	G124	affections medicales du nouveau ne	D14N02	D14N02G124
15M12	Nouveau-nes de 1300g et age gestationnel de 32 SA et assimiles (groupe nouveau-nes 8)	M	D14	Nouveau-nes et periode perinatale	N02	Aff. medicales des nouveau-nes, prematures et de la periode perinatale	G124	affections medicales du nouveau ne	D14N02	D14N02G124
15M13	Nouveau-nes de 1100g et age gestationnel de 30 SA et assimiles (groupe nouveau-nes 9)	M	D14	Nouveau-nes et periode perinatale	N02	Aff. medicales des nouveau-nes, prematures et de la periode perinatale	G124	affections medicales du nouveau ne	D14N02	D14N02G124
15M14	Nouveau-nes de 800g et age gestationnel de 28 SA et assimiles (groupe nouveau-nes 10)	M	D14	Nouveau-nes et periode perinatale	N02	Aff. medicales des nouveau-nes, prematures et de la periode perinatale	G124	affections medicales du nouveau ne	D14N02	D14N02G124
15Z10	Mort-nes	M	D14	Nouveau-nes et periode perinatale	N03	Mort-nes, deces et transferts precoces de nouveau-nes	G195	Mort-nes	D14N03	D14N03G195
16C02	Interventions sur la rate	C	D01	Digestif	C07	Chir. Viscerale autre : rate, grêle, colon, proctologie, hernies	G008	Autres chirurgies digestives	D01C07	D01C07G008
16C03	Autres interventions pour affections du sang et des organes hematopoietiques	C	D16	Hematologie	C21	Chir. pour Aff. des Org. Hematopoietiques, Lymphomes, Leucemies, Tumeurs SID	G141	Chirurgie au cours des tumeurs malignes (hematologie)	D16C21	D16C21G141
16M06	Affections de la rate	M	D16	Hematologie	X14	Maladies immunitaires, du Sang, des Organes hematopoietiques, Tumeurs SID	G145	Autres Maladies immunitaires, du Sang, des Organes hematopoietiques, Tumeurs siege imprecis ou diffus	D16X14	D16X14G145
16M07	Donneurs de moelle	M	D16	Hematologie	X14	Maladies immunitaires, du Sang, des Organes hematopoietiques, Tumeurs SID	G143	Donneurs de moëlle	D16X14	D16X14G143
16M08	Deficits immunitaires	M	D16	Hematologie	X14	Maladies immunitaires, du Sang, des Organes hematopoietiques, Tumeurs SID	G145	Autres Maladies immunitaires, du Sang, des Organes hematopoietiques, Tumeurs siege imprecis ou diffus	D16X14	D16X14G145
16M09	Autres affections du systeme reticuloendothelial ou immunitaire	M	D16	Hematologie	X14	Maladies immunitaires, du Sang, des Organes hematopoietiques, Tumeurs SID	G145	Autres Maladies immunitaires, du Sang, des Organes hematopoietiques, Tumeurs siege imprecis ou diffus	D16X14	D16X14G145
16M10	Troubles severes de la lignee erythrocytaire, age superieur a 17 ans	M	D16	Hematologie	X14	Maladies immunitaires, du Sang, des Organes hematopoietiques, Tumeurs SID	G145	Autres Maladies immunitaires, du Sang, des Organes hematopoietiques, Tumeurs siege imprecis ou diffus	D16X14	D16X14G145
16M11	Autres troubles de la lignee erythrocytaire, age superieur a 17 ans	M	D16	Hematologie	X14	Maladies immunitaires, du Sang, des Organes hematopoietiques, Tumeurs SID	G145	Autres Maladies immunitaires, du Sang, des Organes hematopoietiques, Tumeurs siege imprecis ou diffus	D16X14	D16X14G145
16M12	Purpuras	M	D16	Hematologie	X14	Maladies immunitaires, du Sang, des Organes hematopoietiques, Tumeurs SID	G145	Autres Maladies immunitaires, du Sang, des Organes hematopoietiques, Tumeurs siege imprecis ou diffus	D16X14	D16X14G145
16M13	Autres troubles de la coagulation	M	D16	Hematologie	X14	Maladies immunitaires, du Sang, des Organes hematopoietiques, Tumeurs SID	G145	Autres Maladies immunitaires, du Sang, des Organes hematopoietiques, Tumeurs siege imprecis ou diffus	D16X14	D16X14G145
16M14	Explorations et surveillance pour affections du sang et des organes hematopoietiques	M	D16	Hematologie	X14	Maladies immunitaires, du Sang, des Organes hematopoietiques, Tumeurs SID	G146	Explorations et surveillance pour affections du sang et des organes hematopoietiques	D16X14	D16X14G146
16M15	Symptômes et autres recours aux soins de la CMD 16	M	D16	Hematologie	X14	Maladies immunitaires, du Sang, des Organes hematopoietiques, Tumeurs SID	G145	Autres Maladies immunitaires, du Sang, des Organes hematopoietiques, Tumeurs siege imprecis ou diffus	D16X14	D16X14G145
16M16	Troubles severes de la lignee erythrocytaire, age inferieur a 18 ans	M	D16	Hematologie	X14	Maladies immunitaires, du Sang, des Organes hematopoietiques, Tumeurs SID	G145	Autres Maladies immunitaires, du Sang, des Organes hematopoietiques, Tumeurs siege imprecis ou diffus	D16X14	D16X14G145
16M17	Autres troubles de la lignee erythrocytaire, age inferieur a 18 ans	M	D16	Hematologie	X14	Maladies immunitaires, du Sang, des Organes hematopoietiques, Tumeurs SID	G145	Autres Maladies immunitaires, du Sang, des Organes hematopoietiques, Tumeurs siege imprecis ou diffus	D16X14	D16X14G145
